Timestamp,Session ID,Building,Floor,Localization Time (s),Localization Success,Navigation Time (s),Navigation Success
2024-11-10 21:57:41,anbang,LightHouse,6_floor,2.2,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,2.34,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,2.42,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,2.31,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,1.58,Success,,
2024-11-10 21:57:44,anbang,LightHouse,6_floor,2.62,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.44,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.61,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.71,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.72,Success,,
2024-11-10 21:57:47,anbang,LightHouse,6_floor,2.77,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,2.42,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,2.57,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,2.84,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,3.11,Success,,
2024-11-10 21:57:50,anbang,LightHouse,6_floor,2.45,Success,,
2024-11-10 21:57:50,anbang,LightHouse,6_floor,2.3,Success,,
2024-11-10 21:57:50,anbang,LightHouse,6_floor,2.37,Success,,
2024-11-10 21:57:50,anbang,LightHouse,6_floor,2.01,Success,,
2024-11-10 21:57:51,anbang,LightHouse,6_floor,2.58,Success,,
2024-11-10 21:57:52,anbang,LightHouse,6_floor,2.39,Success,,
2024-11-10 21:57:52,anbang,LightHouse,6_floor,2.01,Success,,
2024-11-10 21:57:52,anbang,LightHouse,6_floor,2.18,Success,,
2024-11-10 21:57:53,anbang,LightHouse,6_floor,2.87,Success,,
2024-11-10 21:57:54,anbang,LightHouse,6_floor,2.56,Success,,
2024-11-10 21:57:55,anbang,LightHouse,6_floor,2.43,Success,,
2024-11-10 21:57:55,anbang,LightHouse,6_floor,2.41,Success,,
2024-11-10 21:57:55,anbang,LightHouse,6_floor,2.58,Success,,
2024-11-10 21:57:56,anbang,LightHouse,6_floor,2.8,Success,,
2024-11-10 21:57:56,anbang,LightHouse,6_floor,2.48,Success,,
2024-11-10 21:57:58,anbang,LightHouse,6_floor,2.66,Success,0.14,Success
2024-11-10 21:57:58,anbang,LightHouse,6_floor,2.93,Success,0.13,Success
2024-11-10 21:57:58,anbang,LightHouse,6_floor,2.78,Success,,
2024-11-10 21:57:58,anbang,LightHouse,6_floor,2.02,Success,,
2024-11-10 21:57:59,anbang,LightHouse,6_floor,2.2,Success,,
2024-11-10 21:57:59,anbang,LightHouse,6_floor,0.87,Success,,
2024-11-10 21:59:00,anbang,LightHouse,6_floor,1.99,Failed,,
2024-11-10 21:59:00,anbang,LightHouse,6_floor,1.96,Failed,,
2024-11-10 21:59:00,anbang,LightHouse,6_floor,2.05,Failed,,
2024-11-10 21:59:00,anbang,LightHouse,6_floor,1.97,Failed,,
2024-11-10 21:59:00,anbang,LightHouse,6_floor,1.99,Failed,,
2024-11-10 21:59:02,anbang,LightHouse,6_floor,1.97,Failed,,
2024-11-10 21:59:02,anbang,LightHouse,6_floor,2.03,Failed,,
2024-11-10 21:59:02,anbang,LightHouse,6_floor,2.04,Failed,,
2024-11-10 21:59:02,anbang,LightHouse,6_floor,2.05,Success,,
2024-11-10 21:59:02,anbang,LightHouse,6_floor,2.05,Success,,
2024-11-10 21:59:04,anbang,LightHouse,6_floor,2.12,Success,,
2024-11-10 21:59:04,anbang,LightHouse,6_floor,2.12,Success,,
2024-11-10 21:59:04,anbang,LightHouse,6_floor,2.17,Success,,
2024-11-10 21:59:04,anbang,LightHouse,6_floor,2.19,Success,,
2024-11-10 21:59:04,anbang,LightHouse,6_floor,2.17,Success,,
2024-11-10 21:59:06,anbang,LightHouse,6_floor,2.14,Success,,
2024-11-10 21:59:07,anbang,LightHouse,6_floor,2.16,Success,,
2024-11-10 21:59:07,anbang,LightHouse,6_floor,2.17,Success,,
2024-11-10 21:59:07,anbang,LightHouse,6_floor,2.96,Success,,
2024-11-10 21:59:07,anbang,LightHouse,6_floor,2.96,Success,,
2024-11-10 21:59:08,anbang,LightHouse,6_floor,1.84,Success,,
2024-11-10 21:59:08,anbang,LightHouse,6_floor,1.88,Success,,
2024-11-10 21:59:09,anbang,LightHouse,6_floor,1.98,Success,,
2024-11-10 21:59:09,anbang,LightHouse,6_floor,2.04,Success,,
2024-11-10 21:59:10,anbang,LightHouse,6_floor,2.13,Success,,
2024-11-10 21:59:11,anbang,LightHouse,6_floor,2.02,Failed,,
2024-11-10 21:59:11,anbang,LightHouse,6_floor,2.07,Success,,
2024-11-10 21:59:11,anbang,LightHouse,6_floor,2.11,Success,,
2024-11-10 21:59:12,anbang,LightHouse,6_floor,1.87,Failed,,
2024-11-10 21:59:12,anbang,LightHouse,6_floor,1.94,Failed,,
2024-11-10 21:59:13,anbang,LightHouse,6_floor,1.82,Failed,,
2024-11-10 21:59:13,anbang,LightHouse,6_floor,1.87,Failed,,
2024-11-10 21:59:13,anbang,LightHouse,6_floor,1.83,Failed,,
2024-11-10 21:59:14,anbang,LightHouse,6_floor,2.04,Failed,,
2024-11-10 21:59:14,anbang,LightHouse,6_floor,2.03,Failed,,
2024-11-10 21:59:14,anbang,LightHouse,6_floor,1.25,Failed,,
2024-11-10 21:59:14,anbang,LightHouse,6_floor,1.34,Failed,,
2024-11-10 21:59:14,anbang,LightHouse,6_floor,1.29,Failed,,
2024-11-10 22:42:55,anbang,N/A,N/A,37.95,Failed,,
2024-11-10 22:43:04,anbang,N/A,N/A,3.78,Failed,,
2024-11-10 22:43:19,anbang,LightHouse,6_floor,5.32,Success,0.05,Success
